LINK,QUBT,HROW,FPAY,RCAT,BTTR,VIVK,ABVC,PHIO,TGTX,SPCB,CODA,NCPL,COSM,AYTU,MULN,BTCS,MIGI,OGEN,COCP,ESSA
0,0,0,0,-0.285714286,0,0,0,0,0,0.8,-0.35714283,0,0,0,-0.625,0.111111059,0,-0.081818182,0,-0.017608653
0,0,0,0,0,0,0,0.388888994,0,0,0.222222222,0.055555549,0,0,0,0,0.099999958,0,0.089108911,0,-0.004716992
0,-0.333333289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818181888,0,0.227272727,0,-0.017061515
0,0.6666666,0,0,0,0,0,-0.424000011,0,0,0,0,-0.5,0,0,1.666666667,0.099999958,0,0,0,0
0,0,-0.125000028,0,0,0,0,0,0,0.800000085,0.363636364,0,0,0,0,0,-0.318181792,0,0,0,-0.003857686
0,1,0,0,0,0,0,0.736111144,0,0.027777706,0,0,0,0,0,-0.5,0,0,0,0,-0.002903913
0,0,0.428571453,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074074074,0,0.019417524
-0.950000524,-0.25,0,0,0,0,0.250000078,0,0,0,0,-0.052631573,0,0,0,0,0,0,0,0,0
19.00020966,0.333333333,0,0,-0.166666667,0,0,0,0,0,0,-0.444444451,0,0,0,-0.1,-0.333333333,0,0,0,0.007618698
0,-0.25,0,0,0,0,0,0,0,0,0,0,0,-0.509803912,0,0,0,0,0,0,0.009451936
0,0.333333333,-0.100000024,0,0,0,0,0,0,0.621621659,0,0,0,0,0,0.888888889,0,0,0.016,0,-0.018726641
0,-0.25,-0.222222215,0,-0.2,1,0,0.04,0,0,0,0,0,-0.6,0,-0.264705882,0.099999958,0,0.062992126,0,-0.005725391
0,-0.599999984,0,0,0,2.5,0,-0.038461538,0,0,0,0,0,3,0,-0.2,0.090909152,0,-0.111111111,0,0
0.099998963,1.499999901,-0.142857094,-0.5625,0,-0.571428571,0,0,0,0,0,0,1,0,0,-0.15,0,0,0,0,-0.002878832
0,-0.133333365,0,-0.571428571,1,0,0,-0.04,0,0,0.133333333,0,0,0,0,0.176470588,0,0,0,0,-0.00096242
0,0.538461595,-0.1666667,0.333333333,-0.125,0,0,0,0,0,0,-0.400000011,0,0,0,-0.2,0,0,0,0,0.00192716
0,0,0.600000024,-0.050000012,-0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001923453
0,-0.399999976,0.124999953,-0.210526306,-0.166666667,0,0,0.083333333,0,0,-0.117647059,0,0,0,0,0,0,0,0,0,-0.011560863
0,1.083333251,0,0.933333397,0,0,0,0,0,0,0,1.333333304,0,0,0,0,0,0,0,0,-0.018518087
0.090909616,0,0,0.793103324,0,-0.333333333,0,-0.076923077,0,-0.25,0,0.28571434,0,0,0,0,0.166666681,0,0,0,0.002978949
0,-0.280000019,0,0,0,0,0,0,0,0,0,-0.333333353,0,0,0,1.125,0,0,0,0,0.011881361
0,0.111111141,0,0,0.4,0,0.1,0.083333333,0,0,0,-0.166666652,0,0,0,-0.529411765,0,0,-0.108333333,0,0.049901868
0,0,0,-0.711538451,0,0,0,0,0,5.666666667,0,0,0,0,0,1.1875,0,0,0,0,-0.028891215
0,0,-0.222222215,0,0.142857143,0,0,0,0,0.083333333,0,0,-0.5,0,0,-0.428571429,0.357142846,0,0,0,-0.02111298
0,-0.199999988,0,0.133333365,0,0,0,0,0,0,0,-0.579999997,2,0,1.199999951,0,0,0,0.074766355,0,-0.005881966
0,0.249999981,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,-0.2,0,0,0,0,-0.01183437
0,0,0.142857179,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0.25,0,0,0.043478261,0,-0.016966311
0,0,0.124999953,0,0,0,0,0,0,-0.2,0,0,0,0,0,0.25,0,0,0,0,0.015228281
0,0,0,0,0,0,0,-0.446153857,0,0.84375,0,0.428571392,0,0,0,0,-0.210526333,0,0.25,0,-0.016999707
0,-0.199999988,0,0,-0.25,0,0,0,0,-0.406779661,0,-0.333333304,0,0,0,0,0,0,0.2,0,0
0,0.249999981,0,0,0,0,0,0,0,-0.142857143,0,0,0,0,0,0,-0.333333333,0,0.25,0,0.010172903
0,0,0,0,0.333333333,0,0,0,0,0.433333333,0,0,0,0,0,0,0,0,0,0,-0.002014189
0,-0.199999988,-0.222222215,0,0,0,0,0,0,-0.418604651,0,0,0,0,0,0,0.200000021,0,-0.244444444,0,-0.021190659
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666681,0,0.323529412,0,-0.003092704
0,0.874999972,0,0,-0.375,0,0,0,0,-0.16,0,0,0,0,0,0,0,0.048387097,0,0,0.033091765
0.126666201,-0.466666659,0,0,0.6,0,0,0,0,-0.19047619,0,0,0,0,0,-0.28,0,-0.015384615,0,0,-0.009009262
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388888889,0,0,-0.071111111,0.476000027,-0.002020049
-0.008875695,0.874999972,0,0,-0.25,0,0,0,0,0.176470588,0,0.249999967,0,0,0,-0.32,0,0,0,0,-0.015181922
0,-0.266666651,0,0,0.333333333,-0.5,0,0,0,-0.15,0,0,0,0,0,0.470588235,0,0,0,0,-0.011305282
-0.089552318,0.181818113,0,0,-0.375,1,0.014545429,0,0,-0.058823529,0,0,0,0,0,0,-0.299999979,0,0,0,-0.009355646
0.03606642,0,0,0,0,0,0,0,0,-0.168750021,0,5.800000128,0,0,0,0,0.857142771,0,-0.114832536,0,-0.00629581
0,-0.384615353,0,0,0,0,-0.014336893,0,0,0,0,-0.411764717,0,0,0,0,-0.153846173,0,-0.027027027,0,0
0,0,0,0,-0.4,0,0,0,0,-0.097744338,0,0,0,0,0,0,0,0,0,0,-0.002111963
0,0.874999972,0,0,0.666666667,0,0,0,0,0.649999972,0,0.249999973,0,0,-0.740259727,0,0,0,-0.222222222,0,0.010582102
0,0,0,0,0,0,0,0,0,-0.06565655,-0.466666667,0.76000002,0,0,0,0,0,0.046875,0,0,-0.004188606
-0.034810915,-0.033333302,0,0,0,0,0,0,0,-0.297297297,1,1.272727246,0,0,0,-0.28,0,-0.002985111,0,0,0.003154874
0,0,0,0,0,0,0,0.124999965,0,0,0,0.199999983,0,0,0,0.388888889,0,0,0,0,-0.003144952
0,0,0,0,0,0,0,0,0,0,0,-0.083333327,1.333333333,0,0,0,0,-0.251496979,0,0,0.011566878
0.104918902,0,0,0,0,0,0,0,0,-0.230769231,0,-0.090909084,0,0,0,0,0,0,0.214285714,-0.046070515,-0.005224826
0.001483306,0,0,0,0,0,0,0,0,0,0,0.600000034,0,0.274999976,0,0,0,0,-0.264705882,0,-0.002100743
0.037036672,0,1.589285758,0,0,0,0,0,0,0,0,-0.124999987,0,-0.019607825,0,0,0,0.335999952,0,0,0.002105166
0,0,-0.896551724,0,0,0,0,0,0,0,0,-0.285714312,0,0,0,0,0,0,0,0,0.01155475
0.007143236,-0.448275872,0.333333333,0,0,0,0,0,0,0,0,-0.149999945,0,-0.1,0,0,-0.36363632,-0.008981964,0,0,-0.005191774
0,0,0,0,0,0,0,0,0,0,0,0.176470512,0,-0.111111111,0,0,0,0,0,0,-0.007307395
0,0,0.299999952,0,0,0,0,0,0,0,0,0,-0.142857143,0,0,0,0,0,0,0,-0.003154523
0,0,0.346153896,0,0,0,0,0,0,0.1,0,0.099999991,0,0,0,-0.28,0,-0.003021184,0,0,0.010548986
0,0,0,0,0,0,0,0,0,0,0,-0.272727252,0,0,0,0.388888889,0,0,0.12,0,0.028183434
0,0,0,0,-0.2,0,0,0,0,0.181818182,0,1.499999947,0.166666667,0,0,0,0,-0.242424242,-0.178571429,0,-0.002030546
0,0,0.400000027,0,0,0,0,0,0,0,0,-0.099999991,0,0,0,0,0,0.315999952,0,0,0.0010174
0,0,0.122448958,0,0,0,0,0,0,0,0,0.111111101,0,0,0,0,0,0,0.086956522,0,-0.002032487
0.06382979,0.562499977,0.636363636,0,0,0,0,0,0,-0.076923077,0,-0.159999986,0,0,0,0,0.142857078,0,0,0,-0.002036565
0,-0.080000019,0,0,0,0,0,0,0,0,0,0.107142897,0,0,0,0,0,0,0.2,0,0.005101895
0,-0.217391309,-0.222222222,0,0.5,0,0,0,0,0.083333333,0,-0.086021494,0,0,0,-0.28,0.625000017,0,-0.453333333,0,-0.003045635
0.066666961,0,0,0,0,0,0,0,0,-0.076923077,0,0.047058816,0,0,0,0.166666667,0,0,0,0,0.004073314
0,0,-0.214285714,0,0,0,0,0,0,0,0,0,0,-0.367500007,0,0,0,0,0.280487805,0,-0.004056789
0,0,0,-0.705882361,0,0,0,0,0,0,0,-0.002247277,0,0,0,0,-0.230769218,0,0.428571429,0,-0.006110001
0.012499761,0,0,0,0,0,0,0,0,0,0,0.002252338,-0.142857143,0.462450628,0,0,0,0,0.3,0,0
0,-0.111111074,0.018181801,0.200000048,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,-0.282051282,0,0.014344273
0,0,0.250000021,0,0,0,0,0,0,-0.153846154,0,0.011235906,0,0,0,0,0,0,0,0,-0.005050543
0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,-0.047619048,-0.099999958,0,0.271428571,0,-0.004060908
0,0,0.014285701,0,0,0,0.018181764,0,0,-0.090909091,0,-0.166666698,0,0,0,0,0,0,0.123595506,0,0.011213109
0,0,-0.014084494,0,0,0,0,0,0,0,0,-0.266666652,0,0,0,0,0,0,-0.2,0,0.00302372
0,0,0,0,-0.625,-0.5,0,0,0,0,0,0.636363665,0,0,0,0,-0.222222235,0,-0.00625,0,-0.015074834
0.061728665,0,-0.014285701,0,0,0,-0.017857091,0,0,0.2,-0.75,-0.222222201,0,0,0,0.15,0,0,0,0,-0.004081749
0,0,0.01449274,0,0.333333333,0,0,0,0,0,2.75,0.071428502,0,0,0,0,0,0,0,0,0.004098478
0,0,0.171428544,0,0,0,0,0,0,0,0,0.12000005,-0.166666667,0,0,0.043478261,0,-0.012158019,0,0,-0.005102385
0,-0.375000009,0.085365832,0,1.25,0,0,0,0,-0.083333333,0,-0.285714307,0,0,2.499999893,0.041666667,0.428571385,0,0.006289308,0,0.010256614
0,0,0.123595554,3.999999801,-0.222222222,0,0,0,0,0,-0.533333333,0.166666726,0,0,0,0,0,0,0,0,0.035533205
0,0,0.010000038,-0.566666683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21875,0,-0.019608224
0,0.100000024,-0.009901027,0,-0.285714286,0,0,0.024691342,0,-0.090909091,0.142857143,0,0,0,0,0,0,0,0.28,0,-0.009999778
0,0,-0.15,0.538461595,0,0,0,0,0,0.102222188,0,-0.178571437,0,0,0,-0.56,0,-0.129230751,0,0,-0.015151751
0,0,-0.105882364,0,0.4,0,0.005454547,0.80722887,0,0,0,0.043478219,0,0,0,0.272727273,-0.200000021,0.095406337,-0.28125,0.088068262,-0.008205118
0,0,-0.31578949,0,0,0,0,0,0,0,0.625,0.166666726,0,0,0,0,-0.374999983,0,0,0,0.013443981
0,0,0.038461595,0,0,0,0,-0.333333318,0,0,-0.153846154,0,0,0,0,0,0,0,0,0.002610948,0.012244818
0,0,0,0,0,0,0,0,0,0,0,-0.214285749,0,0,0,0,0,0,0,-0.66927083,-0.008064565
0,0,0,0,0,0,0,0,0,0,0,0.090909084,0,0,0,0,0,0,0,0.322834584,0.003048669
0,0,0.129629592,0,-0.142857143,0,0,0,0,0,0,0.166666726,0,0,0,0.142857143,1.199999915,0,0.043478261,0,0.02330268
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.545454528,0,0,0,0.009901545
0,0,0,0,0.166666667,0,0,0,0,0,0.363636364,0,0,0,0,0,0,0,0,0,-0.001960987
0,0,0,0,-0.142857143,0,0,0,0.153846154,0,0.066666667,0,0,0,0,0,0,0,0,0,0.00687641
0,0.090909111,0.065573787,0,0.166666667,0,0,0,0.066666667,0,0,0,0,-0.5945946,0,0,0.200000021,0,0.083333333,0.190476215,0
0,0.083333251,0,0,0,2,0,0,-0.0625,0.008064547,0,-0.142857186,0,0,0,-0.125,0,-0.067741974,0.223076923,0,0
-0.069767459,0.923076994,0.138461553,0,0,0,0,0,-0.1,-0.008000031,0,0,0,0,0,0,-0.333333363,0.034602078,0,0,0
0,0,-0.162162199,0,0,0,0,0,-0.111111111,0.008064547,0,0,0,0,0,0,-0.249999967,0,0,0,0.004878026
0.124999735,0,-0.016129017,0,0,0,0,0,-0.083333333,0,-0.4375,-0.119999977,0,0.333333333,0,0,0,0,0,0,0.011649826
0,0,0.31147543,0,0,0,0,0,0,-0.008000031,0.444444444,0.136363607,0,0,0,0,0,0,-0.025157233,0.125,-0.000959043
0.111110802,0,-0.262499988,0,0,0,0,0,-0.181818182,0,0,0,0,-0.25,0,0,0.666666637,0,0,0,0.000959964
0,0,0,0,0,0,-0.005424957,0,0.222222222,-0.006451607,0,0,0,-0.199999968,-0.714285706,0,-0.200000021,0,0,0,0
0,0,0.101694897,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,-0.003344421,0,0,-0.001919125
0,0,0,0,0,0,0,0,-0.090909091,0,-0.230769231,0,0,0,0,0,0,0,0,0,0.000961927
0.149999982,0.6,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,-0.148387097,0.773333363,-0.005763824
0,0,-0.076923077,0,0,0,0,0,-0.2,0,0.3,0,0,0,0,0,0.250000033,0,0,0,-0.003865251
0.021739582,0,0,0,-0.285714286,-0.333333333,0,0,0.111111111,0.055194831,-0.538461538,0,0,-0.1666667,0,-0.25,0,0,0,0.002506249,-0.000969276
0,0,0,0,0,0,0,-0.399999959,0,0,1.166666667,-0.208333283,0,0,0,0,0,0,0,0,-0.006796412
-0.021277028,-0.125,-0.016666651,0,0.4,0,0,0,0.05,0,0,0.263157815,0,0,0,0,0,0,0,0,0.009775247
0,-0.428571429,0,0,0,0,0,0,-0.047619048,0,0,0,0,0,0,0,-0.200000021,0,0,0,-0.002903941
0,0,0,0,0,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.96969697,0,0.00485423
0,0,0,0,-0.428571429,0,0,0,0,0,0,0,-0.4,0,0,0,0,0,0,0,-0.005797354
-0.108695187,0,0.016949136,0,0,0,0,0,0.0625,0,0.153846154,0,0,0,0,0,0,0,0.153846154,0,0.017492896
0,0,0,0,0,0,0,0,-0.058823529,-0.007692337,0,0,0.333333333,0,0,-0.166666667,0,0,-0.066666667,0,-0.005730451
0,0,0,0,0,0,0,0,0,0.007751968,0,-0.001666659,0,0,0,0,0,0,-0.017857143,0,-0.004802706
0,0.549999952,0,0,0.25,0,0,0,0.025,0,0,0,0,1,0,0.6,0,0,0.163636364,0,-0.000970628
0,0,0,0,0,0,0,0,-0.024390244,0,0,0,0,0,2.499999893,-0.125,0.250000033,0,-0.178125,0,0.005825593
0,-0.35483869,0,0,0,0,0,0,0,0,0,0.302170324,0,-0.599999994,0,0,0,0,0.140684411,0,0.002895637
0.07317073,0.75,-0.016666651,0,-0.2,0,0,0,-0.0875,0,0,0.125641023,0,2.124999953,0,-0.285714286,0,0,-0.066666667,0,-0.002887277
0,0,0.016949136,0,0.25,0,0,0,0.123287671,0,-0.333333333,0.013667463,0,0,0,0.2,0.200000021,0,-0.096428571,0,0.014478418
0,0,0,1.549999952,0,0,8.272726731,0,0,0,0.5,-0.101123629,0,-0.2,0,0,1,0,0.035573123,0,-0.003805787
-0.045454815,0,0,0,0,0,0,0,-0.048780488,0,0,0.037499943,0,0,0,0,0,-0.006711389,0.106870229,0,-0.013371655
0,0,0,0,-0.2,0,0,0,0.08974359,0,0,0.024096487,0,0,0,-0.5,0,0,-0.068965517,0,0.044530625
-0.047619258,-0.400000027,0,0,0.25,0,0,0,-0.058823529,0,0,0.070588225,0,0.950000048,0,0,0,0,0.018518519,0,-0.01760879
0.050000232,0.428571493,0,0,-0.2,0,0,0,0.0625,0,0,-0.098901132,0,0,0,0,0,0,-0.134545455,0,-0.007547283
0,0,0,0,0,0,0,0,0,0.038461538,0,-0.024390241,0,0,0,1.333333333,0,0,-0.092436975,0,0.011406733
0,0,0,0,0,0,0.016470595,0,0.294117647,-0.074074074,0,-0.024999997,0,0,0,-0.5,-0.249999978,0,0,0,0.008458762
-0.095237836,0,0,0,0,0,0,0,0.181818182,0,0,0.025641023,-0.25,-0.4871795,0,2.428571429,0,0,0.134259259,0,0.006523878
0,0,0,0,0,0,0,0,0.153846154,0,0,0.249999973,0,0,0,-0.666666667,0,0,-0.085714286,0,0.013888669
-0.052631797,-0.300000032,0,0,0,0,0,0,0.326666667,0,0,0.070000037,0,0,0,1.5,0,0,0,0,0
0,0,0,0,0,0,0.225694493,0,0.130653266,0,0,-0.018691587,0,0,0,0,0,-0.003378419,0.008928571,0,-0.012785174
0,0.428571493,0,0,0,0,0,0,-0.177777778,0,0,-0.047619082,0.333333333,0,0,0,0,0,0.084070796,0,-0.004625126
0,0,0,0,0,0,0,0,-0.897297297,0,0,0.000999996,-0.25,0,0,0,0,0,0.020408163,0,0.000928923
0.055555798,-0.300000032,0.133333365,0,0,0,0,0,-0.052631579,0,0,-0.000998997,2.333333333,0,0,0,0,0,-0.004,0,0.000928616
0,0,-0.117647084,0,0,0,0,0,-0.111111111,0,0,0.077000006,-0.5,0,0,0,0,0,-0.036144578,0,-0.002782821
-0.105263688,0,0,0,0,0,0,0,0,0,0,-0.001857002,1,0,0,0,0,0,-0.0625,0,0.01395349
